,cycleway,footway,path,track,pedestrian,Total
User1130,0,0,30,5,0,35
User721,1,2,2,30,0,35
User536,0,0,18,17,0,35
User3934,1,29,2,1,1,34
User1554,0,6,8,19,1,34
User981,2,6,12,14,0,34
User1893,3,16,15,0,0,34
User337,19,12,1,1,1,34
User2784,0,1,19,14,0,34
User3328,0,0,11,23,0,34
User2183,0,0,18,16,0,34
User539,8,15,7,2,2,34
User597,0,0,13,21,0,34
User3840,7,7,5,15,0,34
User1640,3,23,4,4,0,34
User1770,0,1,3,30,0,34
User949,4,25,2,1,2,34
User2056,1,0,23,10,0,34
User927,7,1,19,5,1,33
User1064,1,0,6,26,0,33
User992,4,1,19,9,0,33
User123,5,7,3,17,1,33
User1356,8,16,8,1,0,33
User2287,1,18,3,10,1,33
User688,0,6,3,24,0,33
User1031,0,11,9,12,1,33
User1706,9,13,6,4,1,33
User1264,3,6,7,17,0,33
User2107,1,32,0,0,0,33
User1566,2,12,3,15,1,33
User2985,0,0,0,33,0,33
User1651,0,4,5,24,0,33
User1038,1,21,10,1,0,33
User1399,5,3,7,17,0,32
User1400,15,3,6,8,0,32
User1078,0,26,3,3,0,32
User1782,13,9,0,10,0,32
User3001,14,7,9,2,0,32
User1847,1,19,8,4,0,32
User1111,3,2,6,19,2,32
User2924,0,0,7,25,0,32
User4006,0,4,0,28,0,32
User1922,1,5,19,6,1,32
User2896,0,32,0,0,0,32
User2491,1,3,9,19,0,32
User27,13,14,2,3,0,32
User637,0,12,15,5,0,32
User201,0,23,2,7,0,32
User1440,12,2,14,0,3,31
User494,2,21,3,5,0,31
User353,2,3,26,0,0,31
User3100,4,2,19,6,0,31
User519,0,8,13,4,6,31
User2850,1,6,12,12,0,31
User1011,7,8,4,12,0,31
User2750,0,14,5,12,0,31
User1062,0,30,0,0,1,31
User3301,0,23,6,1,1,31
User338,0,1,18,12,0,31
User2608,1,19,2,9,0,31
User2119,7,10,5,8,1,31
User2923,0,0,7,24,0,31
User2066,0,1,19,11,0,31
User632,1,3,24,3,0,31
User1144,0,12,2,17,0,31
User1909,0,7,13,11,0,31
User3461,4,21,5,1,0,31
User1157,17,0,5,9,0,31
User1014,0,20,0,5,6,31
User1268,0,4,12,15,0,31
User1989,2,9,6,14,0,31
User2181,0,3,3,24,0,30
User1609,0,2,14,14,0,30
User1744,0,0,19,11,0,30
User3455,0,29,0,1,0,30
User1930,2,3,18,7,0,30
User2130,0,1,18,11,0,30
User1155,1,4,7,18,0,30
User974,2,8,16,4,0,30
User2184,0,0,26,4,0,30
User2024,0,26,1,1,2,30
User2529,0,0,1,29,0,30
User2236,2,0,1,27,0,30
User1243,9,1,7,13,0,30
User2838,3,20,4,1,2,30
User2079,2,0,19,9,0,30
User770,30,0,0,0,0,30
User1320,1,8,12,8,1,30
User2318,3,17,3,7,0,30
User2087,4,26,0,0,0,30
User1571,0,16,1,2,10,29
User1606,10,4,7,4,4,29
User1963,13,4,1,10,1,29
User640,26,1,1,1,0,29
User3720,0,11,16,2,0,29
User769,0,0,28,1,0,29
User5230,0,3,26,0,0,29
User3743,1,20,3,2,3,29
User2544,0,25,3,1,0,29
User2593,0,0,20,9,0,29
User3194,0,13,16,0,0,29
User2265,4,2,16,7,0,29
User403,8,8,2,0,11,29
User687,0,4,2,23,0,29
User2881,0,18,3,7,1,29
User1092,0,7,8,13,1,29
User1376,6,18,5,0,0,29
User2409,0,4,23,2,0,29
User621,1,4,11,12,0,28
User2404,0,2,16,10,0,28
User2583,0,0,9,19,0,28
User402,1,20,3,0,4,28
User748,0,25,3,0,0,28
User5558,0,0,28,0,0,28
User1224,3,5,11,9,0,28
User3137,0,2,4,22,0,28
User1182,0,12,3,2,11,28
User717,7,2,3,16,0,28
User1578,0,8,17,3,0,28
User443,17,0,2,9,0,28
User1723,0,0,2,26,0,28
User1803,28,0,0,0,0,28
User1741,0,28,0,0,0,28
User715,11,4,7,4,1,27
User1816,2,25,0,0,0,27
User2334,1,6,15,5,0,27
User2272,0,22,0,1,4,27
User374,1,0,0,25,1,27
User816,5,11,7,4,0,27
User1754,2,0,22,3,0,27
User1919,4,12,6,3,2,27
User779,0,3,0,24,0,27
User3127,0,4,23,0,0,27
User3349,0,1,26,0,0,27
User2932,1,9,9,8,0,27
User3766,1,23,1,2,0,27
User655,0,0,0,27,0,27
User209,0,21,5,1,0,27
User2281,0,1,11,15,0,27
User3036,4,16,4,3,0,27
User5660,0,27,0,0,0,27
User2321,2,0,2,23,0,27
User2071,0,23,2,1,1,27
User507,3,0,22,0,2,27
User2199,13,0,13,1,0,27
User962,2,20,1,4,0,27
User661,1,14,11,0,0,26
User1066,3,0,10,13,0,26
User254,1,8,7,10,0,26
User3206,11,5,6,0,4,26
User2220,4,5,14,3,0,26
User1860,0,1,4,21,0,26
User1338,0,0,22,4,0,26
User2664,0,0,14,12,0,26
User3106,0,11,14,0,1,26
User1906,10,4,8,4,0,26
User560,0,17,5,4,0,26
User3054,3,12,9,2,0,26
User556,0,19,3,4,0,26
User840,0,7,5,1,13,26
User2998,1,6,10,9,0,26
User1379,0,1,23,2,0,26
User483,1,8,0,17,0,26
User3095,0,23,1,2,0,26
User2043,0,0,12,14,0,26
User2218,0,19,2,5,0,26
User812,1,4,20,1,0,26
User3459,0,1,2,23,0,26
User1056,0,7,7,12,0,26
User3263,1,6,1,18,0,26
User1615,0,1,3,22,0,26
User465,3,20,2,0,1,26
User479,21,0,5,0,0,26
User3489,0,1,24,1,0,26
User626,0,3,17,6,0,26
User879,2,0,2,22,0,26
User1644,0,3,5,18,0,26
User645,0,3,2,21,0,26
User178,10,14,1,0,1,26
User1714,5,5,12,4,0,26
User1018,5,7,8,6,0,26
User4472,0,26,0,0,0,26
User1763,0,6,10,10,0,26
User574,3,3,7,13,0,26
User2005,4,6,1,14,0,25
User1702,0,1,3,21,0,25
User420,18,2,3,2,0,25
User592,3,3,2,17,0,25
User2844,0,12,2,10,1,25
User595,0,23,2,0,0,25
User202,24,0,1,0,0,25
User191,0,24,0,0,1,25
User2545,0,0,1,24,0,25
User1444,0,0,2,23,0,25
User4058,17,5,3,0,0,25
User3792,9,16,0,0,0,25
User868,0,14,2,2,7,25
User1709,5,6,0,14,0,25
User881,2,0,23,0,0,25
User1235,0,7,8,10,0,25
User247,0,4,10,11,0,25
User3350,0,13,0,7,5,25
User658,0,8,8,9,0,25
User3259,1,23,1,0,0,25
User1137,0,3,8,14,0,25
User982,0,4,16,5,0,25
User464,2,12,9,2,0,25
User2952,0,2,22,1,0,25
User1496,0,0,14,11,0,25
User1488,0,19,0,2,4,25
User929,5,5,9,6,0,25
User1800,3,8,12,2,0,25
User2997,6,1,1,17,0,25
User2386,0,2,3,20,0,25
User701,2,5,11,1,6,25
User5090,0,0,7,17,0,24
User1979,0,12,1,11,0,24
User4124,1,0,22,1,0,24
User817,0,3,7,14,0,24
User3,7,8,8,0,1,24
User129,6,3,5,10,0,24
User3797,0,18,5,0,1,24
User2261,2,11,5,6,0,24
User1705,8,5,3,8,0,24
User3970,3,8,13,0,0,24
User1466,2,0,13,9,0,24
User2609,3,13,4,4,0,24
User3293,0,4,14,6,0,24
User2135,15,5,4,0,0,24
User1541,0,19,3,1,1,24
User2144,1,8,12,2,1,24
User3665,0,5,18,1,0,24
User1072,5,14,3,2,0,24
User2106,1,19,1,0,3,24
User668,0,1,8,15,0,24
User905,0,14,0,10,0,24
User2052,0,0,14,10,0,24
User307,4,16,1,1,2,24
User2016,3,4,13,4,0,24
User1094,11,5,0,8,0,24
User392,0,2,6,16,0,24
User1389,9,10,0,4,1,24
User1683,0,7,9,6,2,24
User1729,7,8,6,3,0,24
User1024,0,13,5,5,1,24
User1660,1,21,1,1,0,24
User3834,0,1,10,12,0,23
User1210,4,10,4,5,0,23
User5881,0,23,0,0,0,23
User636,10,7,5,1,0,23
User428,0,16,3,2,2,23
User4339,0,23,0,0,0,23
User2118,23,0,0,0,0,23
User4326,0,23,0,0,0,23
User752,0,18,0,5,0,23
User378,0,3,10,10,0,23
User2600,0,23,0,0,0,23
User125,1,16,4,1,1,23
User389,0,2,6,15,0,23
User2777,6,7,10,0,0,23
User2778,0,2,13,8,0,23
User1877,1,9,13,0,0,23
User3582,0,0,0,23,0,23
User4617,0,16,7,0,0,23
User1469,1,1,7,14,0,23
User2573,0,9,7,7,0,23
User1516,1,1,0,21,0,23
User1248,0,2,3,18,0,23
User1531,13,0,0,10,0,23
User1316,0,13,0,10,0,23
User1230,0,17,6,0,0,23
User1774,6,3,5,9,0,23
User1548,4,2,2,15,0,23
User1966,0,23,0,0,0,23
User2337,5,10,1,7,0,23
User2396,0,13,9,1,0,23
User1100,0,23,0,0,0,23
User3530,0,0,0,22,0,22
User2987,0,0,15,7,0,22
User1983,4,17,1,0,0,22
User624,0,10,6,5,1,22
User630,1,6,14,1,0,22
User1617,0,0,16,6,0,22
User418,0,6,11,5,0,22
User1129,3,9,6,4,0,22
User4143,1,6,4,9,2,22
User1298,19,0,3,0,0,22
User902,1,20,1,0,0,22
User1317,4,4,4,10,0,22
User23,0,3,19,0,0,22
User5632,0,0,22,0,0,22
User3442,0,22,0,0,0,22
User4396,0,0,1,21,0,22
User1543,1,1,7,10,3,22
User2663,0,9,1,10,2,22
User2958,0,16,5,0,1,22
User143,0,0,0,0,22,22
User2050,0,5,10,7,0,22
User2576,1,7,9,5,0,22
User2804,0,1,16,5,0,22
User2574,1,3,0,18,0,22
User440,1,2,16,3,0,22
User3202,0,1,3,18,0,22
User3599,0,22,0,0,0,22
User1682,0,10,2,10,0,22
User820,0,0,9,13,0,22
User3184,0,16,4,1,0,21
User593,0,0,1,20,0,21
User1746,0,7,7,7,0,21
User793,3,3,3,12,0,21
User582,2,8,11,0,0,21
User1708,0,1,15,5,0,21
User3128,0,1,3,17,0,21
User2650,1,4,8,8,0,21
User2542,3,11,7,0,0,21
User2518,0,8,12,1,0,21
User3056,0,1,7,13,0,21
User2933,0,7,6,8,0,21
User268,0,15,0,6,0,21
User5113,1,1,19,0,0,21
User463,5,5,11,0,0,21
User2450,0,0,2,19,0,21
User2245,0,14,3,4,0,21
User1568,0,0,1,20,0,21
User2717,2,18,1,0,0,21
User1608,7,8,3,3,0,21
User1336,0,0,19,2,0,21
User756,7,6,4,4,0,21
User2860,0,0,17,4,0,21
User1323,0,18,0,0,3,21
User1870,0,2,15,4,0,21
User1722,1,12,3,4,1,21
User2847,0,0,9,12,0,21
User1303,7,1,5,8,0,21
User4315,0,17,1,3,0,21
User3290,2,17,2,0,0,21
User3249,0,12,2,7,0,21
User2042,0,17,3,1,0,21
User1408,4,3,2,12,0,21
User618,0,0,13,8,0,21
User3926,0,6,8,6,1,21
User2444,0,2,0,19,0,21
User2732,1,0,8,10,2,21
User808,4,9,7,0,1,21
User3718,0,3,7,11,0,21
User2823,0,11,4,6,0,21
User2333,0,1,2,18,0,21
User917,1,12,7,1,0,21
User4607,0,15,0,0,6,21
User3748,0,7,9,5,0,21
User1785,0,6,9,5,0,20
User2535,1,10,9,0,0,20
User2346,0,0,14,6,0,20
User1465,1,0,6,13,0,20
User634,2,2,9,6,1,20
User1965,0,3,13,4,0,20
User4261,2,14,3,0,1,20
User5722,0,20,0,0,0,20
User2473,13,4,3,0,0,20
User1433,4,0,16,0,0,20
User2486,0,11,4,5,0,20
User611,10,4,6,0,0,20
User919,1,7,0,12,0,20
User1597,7,4,7,0,2,20
User1834,0,0,6,14,0,20
User3207,17,0,2,1,0,20
User1065,0,0,18,2,0,20
User481,0,15,1,0,4,20
User4257,0,0,15,5,0,20
User2204,0,0,11,9,0,20
User835,0,12,8,0,0,20
User2034,4,13,2,1,0,20
User733,0,5,0,15,0,20
User4643,3,0,14,3,0,20
User1555,4,1,6,9,0,20
User800,3,15,1,1,0,20
User1828,10,0,3,7,0,20
User1928,0,2,17,1,0,20
User1921,1,17,1,1,0,20
User5212,0,17,3,0,0,20
User732,4,8,7,0,0,19
User1670,0,0,1,18,0,19
User901,4,0,7,8,0,19
User1050,11,1,6,0,1,19
User4208,4,12,3,0,0,19
User2532,0,10,9,0,0,19
User1001,12,2,5,0,0,19
User2122,0,6,13,0,0,19
User5106,2,17,0,0,0,19
User3057,0,3,7,9,0,19
User558,4,2,10,3,0,19
User1493,0,0,13,6,0,19
User1552,0,16,0,2,1,19
User754,0,12,2,5,0,19
User1345,0,6,4,9,0,19
User2675,0,2,9,8,0,19
User1727,0,0,0,19,0,19
User1969,0,11,5,3,0,19
User2021,0,0,0,19,0,19
User1403,10,4,2,1,2,19
User3255,0,19,0,0,0,19
User3815,0,13,6,0,0,19
User2249,6,12,0,1,0,19
User2412,3,4,8,4,0,19
User807,3,3,7,6,0,19
User3375,1,0,16,2,0,19
User1645,4,5,10,0,0,19
User421,0,1,1,17,0,19
User3674,0,17,2,0,0,19
User1716,11,4,2,2,0,19
User78,5,0,7,0,7,19
User587,15,2,2,0,0,19
User2102,0,0,1,18,0,19
User3828,6,4,0,9,0,19
User2855,0,4,12,3,0,19
User3281,1,5,9,4,0,19
User1611,0,2,16,1,0,19
User3957,1,0,14,4,0,19
User34,4,1,4,8,2,19
User5777,0,0,18,1,0,19
User3117,0,5,4,10,0,19
User1643,0,5,10,3,0,18
User386,0,3,6,9,0,18
User1612,10,5,2,1,0,18
User3506,0,0,3,15,0,18
User1211,1,8,3,6,0,18
User1964,2,12,0,0,4,18
User4903,0,13,5,0,0,18
User1539,3,8,3,4,0,18
User1931,2,6,3,7,0,18
User572,3,13,0,2,0,18
User4634,0,18,0,0,0,18
User333,0,0,11,7,0,18
User2148,2,5,7,4,0,18
User2098,0,0,4,14,0,18
User3048,0,0,17,1,0,18
User1371,4,8,3,3,0,18
User2543,2,8,6,2,0,18
User1013,2,0,3,12,1,18
User2405,0,1,17,0,0,18
User2867,7,7,2,2,0,18
User909,11,4,3,0,0,18
User3873,1,5,6,6,0,18
User737,4,14,0,0,0,18
User3081,0,13,5,0,0,18
User764,15,1,2,0,0,18
User223,0,12,3,0,3,18
User771,2,1,6,9,0,18
User1968,0,9,8,1,0,18
User872,0,9,4,5,0,18
User2925,0,0,12,6,0,18
User1666,0,0,9,9,0,18
User2915,0,0,6,12,0,18
User1671,0,13,1,0,4,18
User845,2,1,7,8,0,18
User2641,2,0,0,16,0,18
User2715,0,4,8,6,0,18
User1715,5,4,0,9,0,18
User852,7,2,5,4,0,18
User4227,2,15,1,0,0,18
User1695,0,0,18,0,0,18
User1898,0,6,5,6,1,18
User5096,0,11,7,0,0,18
User3667,4,5,5,4,0,18
User1114,4,9,0,5,0,18
User2335,0,7,0,0,10,17
User581,9,4,2,2,0,17
User2892,1,0,14,2,0,17
User2338,3,0,7,7,0,17
User153,0,0,15,2,0,17
User2983,10,4,2,1,0,17
User42,0,3,7,7,0,17
User4235,0,0,11,6,0,17
User1915,1,0,1,14,1,17
User1926,0,17,0,0,0,17
User4579,0,0,3,14,0,17
User2091,0,0,3,14,0,17
User4880,0,17,0,0,0,17
User2979,1,11,5,0,0,17
User1486,3,7,3,4,0,17
User4983,0,17,0,0,0,17
User942,0,11,4,2,0,17
User1765,1,2,5,9,0,17
User2089,2,2,6,7,0,17
User1086,3,12,0,2,0,17
User5214,0,8,9,0,0,17
User1428,0,7,6,3,1,17
User1798,0,2,3,12,0,17
User1772,0,1,0,16,0,17
User601,1,0,3,13,0,17
User5484,0,0,17,0,0,17
User5726,0,17,0,0,0,17
User980,0,17,0,0,0,17
User2152,0,2,4,11,0,17
User1885,1,15,1,0,0,17
User4511,11,6,0,0,0,17
User742,1,1,6,9,0,17
User168,0,4,1,12,0,17
User5618,0,3,14,0,0,17
User4967,0,4,9,4,0,17
User3785,0,16,1,0,0,17
User391,0,0,1,16,0,17
User2475,0,8,4,5,0,17
User1131,2,10,3,2,0,17
User922,0,4,3,10,0,17
User1862,0,0,1,16,0,17
User2875,0,17,0,0,0,17
User2517,1,5,1,10,0,17
User1610,0,6,6,5,0,17
User4356,13,4,0,0,0,17
User3365,0,0,0,17,0,17
User792,0,0,4,13,0,17
User4372,0,16,0,1,0,17
User4448,2,1,7,7,0,17
User1241,0,2,9,6,0,17
User508,1,13,3,0,0,17
User1899,0,0,13,3,0,16
User3609,0,0,11,5,0,16
User2763,0,6,3,7,0,16
User2180,0,2,11,3,0,16
User1051,6,5,2,3,0,16
User4881,14,2,0,0,0,16
User2110,0,7,4,5,0,16
User2526,5,0,3,8,0,16
User5963,8,6,2,0,0,16
User767,6,6,3,1,0,16
User885,3,3,3,7,0,16
User172,3,10,0,0,3,16
User1151,0,3,3,10,0,16
User2862,1,2,5,8,0,16
User3698,5,1,4,6,0,16
User1288,4,0,10,2,0,16
User3237,0,1,6,9,0,16
User4020,0,9,7,0,0,16
User4059,1,8,0,0,7,16
User679,1,1,7,7,0,16
User2982,0,0,1,15,0,16
User1788,0,3,10,3,0,16
User1857,14,2,0,0,0,16
User2754,0,3,12,1,0,16
User1935,2,1,3,10,0,16
User3309,0,1,4,11,0,16
User1854,0,8,7,1,0,16
User4200,0,0,11,5,0,16
User3430,10,0,1,5,0,16
User3918,0,1,9,6,0,16
User19,1,8,5,2,0,16
User3705,2,13,0,0,1,16
User543,1,2,13,0,0,16
User628,0,10,6,0,0,16
User995,1,0,8,7,0,16
User3030,0,1,8,7,0,16
User591,15,0,1,0,0,16
User1559,3,5,8,0,0,16
User3569,4,9,1,2,0,16
User2097,0,3,3,5,5,16
User4295,0,1,1,14,0,16
User4735,0,16,0,0,0,16
User1982,0,0,13,3,0,16
User1515,0,2,4,10,0,16
User750,4,1,11,0,0,16
User516,3,0,4,9,0,16
User2390,2,3,1,10,0,16
User2154,8,6,1,1,0,16
User1055,0,4,10,2,0,16
User2017,7,8,0,0,1,16
User1355,1,6,0,9,0,16
User914,0,3,13,0,0,16
User2430,0,9,5,2,0,16
User5389,0,0,15,0,0,15
User4229,0,8,4,1,2,15
User2901,0,0,0,15,0,15
User2111,0,0,4,11,0,15
User341,0,11,4,0,0,15
User1711,0,4,0,0,11,15
User3870,0,13,0,2,0,15
User2420,1,2,8,4,0,15
User3356,2,11,1,1,0,15
User1039,7,5,0,2,1,15
User1489,0,2,5,8,0,15
User3383,0,15,0,0,0,15
User3397,1,11,0,3,0,15
User1700,0,0,1,14,0,15
User596,4,7,0,0,4,15
User1474,0,8,0,7,0,15
User5471,0,15,0,0,0,15
User1118,1,8,4,1,1,15
User2528,0,7,2,6,0,15
User3072,10,2,3,0,0,15
User1864,0,9,2,4,0,15
User3066,0,0,6,9,0,15
User2320,0,0,8,7,0,15
User3050,0,0,0,15,0,15
User1297,1,9,1,4,0,15
User2678,1,14,0,0,0,15
User3042,0,1,6,8,0,15
User740,3,0,0,12,0,15
User4073,3,2,6,1,3,15
User1398,0,2,10,3,0,15
User3027,0,0,9,6,0,15
User3092,1,0,3,11,0,15
User3211,0,1,12,2,0,15
User2195,0,4,6,5,0,15
User2500,0,2,1,12,0,15
User2289,0,14,0,0,1,15
User3185,1,12,0,2,0,15
User1961,0,9,5,0,1,15
User1954,0,8,7,0,0,15
User1950,1,7,4,1,2,15
User1158,0,0,13,2,0,15
User1201,5,1,4,5,0,15
User4319,15,0,0,0,0,15
User3966,11,4,0,0,0,15
User2734,0,0,12,3,0,15
User2697,0,4,0,10,1,15
User3138,4,1,3,6,1,15
User1920,0,7,7,1,0,15
User1904,2,11,1,1,0,15
User973,1,4,10,0,0,15
User1321,0,2,10,3,0,15
User5275,0,14,1,0,0,15
User3939,0,0,12,3,0,15
User553,0,1,10,4,0,15
User3579,0,0,15,0,0,15
User1457,0,0,2,13,0,15
User59,3,3,8,0,0,14
User1912,0,11,1,2,0,14
User3124,2,1,5,5,1,14
User4040,0,1,12,1,0,14
User5086,3,1,6,2,2,14
User2743,0,12,1,1,0,14
User2903,0,3,8,3,0,14
User2745,0,0,11,3,0,14
User1265,2,9,2,1,0,14
User1266,1,2,11,0,0,14
User2171,0,5,1,8,0,14
User497,0,0,8,6,0,14
User2002,0,7,3,4,0,14
User3132,0,12,1,1,0,14
User639,3,0,1,10,0,14
User2114,6,6,0,2,0,14
User884,0,1,0,13,0,14
User883,11,1,0,2,0,14
User3005,1,2,6,5,0,14
User441,0,14,0,0,0,14
User2762,0,0,7,7,0,14
User2604,0,0,5,9,0,14
User5152,0,14,0,0,0,14
User1247,0,11,1,2,0,14
User1703,0,0,1,12,1,14
User3337,0,1,11,2,0,14
User5144,0,14,0,0,0,14
User79,0,7,7,0,0,14
User1960,5,5,4,0,0,14
User367,0,6,0,8,0,14
User2667,0,2,3,9,0,14
User1685,3,9,1,1,0,14
User1160,8,3,0,3,0,14
User4502,0,2,4,8,0,14
User605,0,1,5,8,0,14
User606,0,12,0,2,0,14
User2399,0,12,1,0,1,14
User250,3,10,0,0,1,14
User1655,8,6,0,0,0,14
User131,2,2,6,4,0,14
User4109,1,13,0,0,0,14
User1789,1,9,1,2,1,14
User1646,0,2,12,0,0,14
User5868,7,7,0,0,0,14
User3271,0,2,1,11,0,14
User1453,1,2,9,2,0,14
User1697,1,10,1,2,0,14
User3347,0,0,6,8,0,14
User1222,0,0,6,8,0,14
User622,5,2,3,4,0,14
User3064,0,11,0,3,0,14
User2187,0,1,1,12,0,14
User2946,0,0,13,1,0,14
User4868,0,5,1,8,0,14
User2676,7,5,1,1,0,14
User1527,0,1,4,8,1,14
User3039,0,0,7,7,0,14
User2945,0,1,6,7,0,14
User4664,0,14,0,0,0,14
User4447,0,2,7,5,0,14
User1535,0,13,1,0,0,14
User4569,0,0,13,1,0,14
User1831,0,13,0,1,0,14
User3393,0,0,14,0,0,14
User1540,0,8,4,2,0,14
User4572,0,0,0,14,0,14
User1104,0,0,14,0,0,14
User1832,0,0,7,7,0,14
User4633,0,13,1,0,0,14
User1738,0,1,7,5,1,14
User1822,1,9,0,4,0,14
User2053,2,6,0,6,0,14
User575,4,4,6,0,0,14
User1853,0,7,5,2,0,14
User3570,0,11,2,1,0,14
User2128,0,12,1,1,0,14
User2792,0,14,0,0,0,14
User1432,0,9,0,5,0,14
User1361,3,0,4,7,0,14
User724,0,0,5,8,0,13
User858,0,0,2,11,0,13
User3963,0,0,5,8,0,13
User1012,2,2,0,9,0,13
User4593,1,1,11,0,0,13
User4095,0,8,4,1,0,13
User3324,1,0,0,12,0,13
User4630,0,0,9,4,0,13
User4321,0,0,13,0,0,13
User152,0,5,1,7,0,13
User1174,0,7,2,2,2,13
User2260,3,4,4,2,0,13
User2476,2,0,1,10,0,13
User4328,0,0,8,5,0,13
User1192,0,12,1,0,0,13
User1639,4,3,2,4,0,13
User477,5,6,0,2,0,13
User3565,0,3,7,3,0,13
User1468,0,4,3,6,0,13
User5669,0,6,4,3,0,13
User2730,0,2,3,8,0,13
User2722,0,6,7,0,0,13
User3402,0,0,4,9,0,13
User2215,12,1,0,0,0,13
User1542,0,7,3,0,3,13
User2966,4,8,1,0,0,13
User1839,0,2,9,2,0,13
User2469,0,1,0,12,0,13
User1887,3,1,3,6,0,13
User1295,0,4,4,5,0,13
User960,0,1,5,7,0,13
User4197,3,9,0,1,0,13
User1719,5,6,2,0,0,13
User1561,0,0,10,3,0,13
User2344,0,1,3,9,0,13
User1868,0,0,12,1,0,13
User2530,0,11,2,0,0,13
User4150,0,12,0,1,0,13
User1797,0,13,0,0,0,13
User1574,0,13,0,0,0,13
User3417,0,0,3,10,0,13
User772,2,6,2,3,0,13
User1511,0,11,0,1,1,13
User1095,3,4,3,3,0,13
User557,0,9,4,0,0,13
User589,0,7,2,4,0,13
User2137,3,3,4,3,0,13
User2353,0,5,8,0,0,13
User3251,0,0,3,10,0,13
User1106,0,1,11,1,0,13
User3283,0,0,13,0,0,13
User1995,0,0,7,6,0,13
User1992,0,1,0,12,0,13
User4438,0,11,1,0,0,12
User1681,1,2,0,9,0,12
User1867,7,3,2,0,0,12
User1914,3,1,2,6,0,12
User1017,2,2,8,0,0,12
User336,0,2,6,3,1,12
User3709,0,1,8,3,0,12
User935,0,4,8,0,0,12
User3779,1,8,3,0,0,12
User3829,0,3,5,4,0,12
User1710,0,0,2,10,0,12
User578,3,4,5,0,0,12
User5238,0,0,12,0,0,12
User2647,0,12,0,0,0,12
User2643,1,2,3,6,0,12
User2374,0,0,0,12,0,12
User4352,0,2,7,3,0,12
User2797,0,1,8,3,0,12
User2662,5,0,5,2,0,12
User551,0,12,0,0,0,12
User1942,0,1,1,10,0,12
User499,0,11,0,1,0,12
User5,2,10,0,0,0,12
User2705,1,3,8,0,0,12
User561,0,10,2,0,0,12
User906,0,6,5,1,0,12
User3798,0,0,0,12,0,12
User2695,0,8,0,4,0,12
User1876,1,7,4,0,0,12
User2064,0,0,0,12,0,12
User1874,0,6,5,1,0,12
User2382,1,2,0,9,0,12
User5261,0,8,0,0,4,12
User2601,0,3,2,7,0,12
User3000,0,8,0,4,0,12
User844,0,2,8,2,0,12
User2524,0,10,0,2,0,12
User1119,0,0,1,11,0,12
User3215,1,0,11,0,0,12
User3647,0,9,3,0,0,12
User5162,0,11,1,0,0,12
User3405,0,0,2,10,0,12
User1278,1,5,6,0,0,12
User1277,1,11,0,0,0,12
User2597,0,0,12,0,0,12
User867,0,0,6,6,0,12
User1276,1,7,2,2,0,12
User4130,0,11,1,0,0,12
User3121,3,7,2,0,0,12
User1254,6,1,0,5,0,12
User1253,0,0,9,3,0,12
User1310,0,8,0,4,0,12
User2581,0,6,0,4,2,12
User382,0,1,6,5,0,12
User1342,0,2,2,8,0,12
User3022,0,3,4,5,0,12
User1459,0,0,10,2,0,12
User4170,0,7,1,4,0,12
User3399,0,0,3,9,0,12
User2572,0,10,1,1,0,12
User3041,0,4,8,0,0,12
User3225,5,1,1,3,2,12
User1501,3,6,1,1,1,12
User3993,2,2,4,4,0,12
User1506,0,0,0,0,12,12
User3058,0,0,3,9,0,12
User1352,1,1,3,7,0,12
User2956,0,11,0,0,1,12
User4204,0,0,7,5,0,12
User4690,0,0,0,12,0,12
User2919,0,3,1,8,0,12
User775,0,1,0,11,0,12
User1040,0,2,7,3,0,12
User1163,9,3,0,0,0,12
User4838,0,12,0,0,0,12
User2886,0,0,12,0,0,12
User2270,0,5,5,2,0,12
User138,0,1,5,0,6,12
User2897,0,8,3,1,0,12
User796,1,0,2,9,0,12
User4033,0,6,6,0,0,12
User2352,1,1,9,1,0,12
User2870,0,0,10,2,0,12
User1156,1,0,9,2,0,12
User1231,3,2,3,4,0,12
User2438,1,4,4,3,0,12
User2113,0,7,1,4,0,12
User2713,0,1,0,10,0,11
User3559,3,8,0,0,0,11
User5671,0,4,4,3,0,11
User3055,0,0,1,10,0,11
User3968,0,10,1,0,0,11
User2560,0,7,1,3,0,11
User3969,1,9,0,0,1,11
User2682,0,1,2,8,0,11
User4807,0,11,0,0,0,11
User4399,0,6,5,0,0,11
User1096,0,11,0,0,0,11
User1186,0,0,2,9,0,11
User205,2,8,0,0,1,11
User2788,1,0,1,9,0,11
User3771,3,6,0,0,2,11
User1833,0,5,0,6,0,11
User3038,0,3,8,0,0,11
User3996,0,10,0,1,0,11
User1391,0,0,4,7,0,11
User2012,3,7,1,0,0,11
User5623,0,0,5,6,0,11
User2332,0,9,2,0,0,11
User2197,0,0,0,11,0,11
User1175,0,3,0,5,3,11
User1815,2,5,2,0,2,11
User2555,0,8,1,2,0,11
User1811,0,0,10,1,0,11
User3415,0,1,8,2,0,11
User3839,0,4,3,4,0,11
User283,0,8,1,2,0,11
User149,2,0,5,4,0,11
User4029,0,7,3,1,0,11
User1916,2,9,0,0,0,11
User2408,0,0,0,11,0,11
User3122,0,2,5,4,0,11
User5813,0,7,2,2,0,11
User932,1,9,1,0,0,11
User3800,0,8,3,0,0,11
User4086,6,0,4,1,0,11
User1229,0,0,0,11,0,11
User2751,0,1,3,7,0,11
