,cycleway,footway,path,track,pedestrian,Total
User1471,2,92,80,153,4,331
User88,196,64,21,48,1,330
User100,27,106,22,168,6,329
User163,23,214,46,38,7,328
User675,1,243,57,20,3,324
User681,23,98,136,61,3,321
User939,20,87,84,124,5,320
User313,14,142,147,14,2,319
User760,42,216,47,10,4,319
User373,53,30,81,155,0,319
User625,24,74,78,137,6,319
User377,89,22,127,57,19,314
User1136,131,16,47,118,0,312
User1272,19,104,105,61,22,311
User155,70,16,47,178,0,311
User332,22,244,20,23,2,311
User1085,11,4,99,197,0,311
User1807,0,16,185,109,0,310
User506,19,87,107,67,30,310
User515,3,201,30,73,2,309
User14,9,163,84,10,41,307
User1761,21,65,110,102,8,306
User610,1,166,35,99,4,305
User1046,8,165,61,67,4,305
User892,31,99,53,119,2,304
User229,31,233,28,2,10,304
User255,22,30,117,121,11,301
User1221,8,170,38,74,8,298
User1045,102,51,116,22,4,295
User298,4,117,39,6,128,294
User150,9,59,118,107,0,293
User520,11,30,80,171,0,292
User1896,27,40,210,14,0,291
User132,2,165,95,27,0,289
User50,55,187,24,1,21,288
User2120,88,32,88,80,0,288
User2379,6,115,64,101,1,287
User795,11,40,94,141,0,286
User525,0,37,130,116,0,283
User538,0,255,1,10,17,283
User735,29,169,63,18,0,279
User447,26,180,29,37,2,274
User476,8,74,107,79,1,269
User690,23,50,93,100,2,268
User565,0,32,170,63,0,265
User234,2,19,77,164,1,263
User269,1,28,81,151,0,261
User2398,0,207,25,29,0,261
User334,9,43,142,64,0,258
User363,38,70,116,27,6,257
User1236,0,42,77,136,0,255
User419,42,141,23,5,43,254
User1386,35,66,42,103,5,251
User1805,18,119,77,31,6,251
User181,11,87,33,86,32,249
User24,73,103,51,9,11,247
User2010,2,203,40,0,0,245
User1363,11,32,121,80,0,244
User2232,1,243,0,0,0,244
User236,0,72,127,38,6,243
User540,34,83,101,24,0,242
User1087,1,225,7,4,3,240
User782,0,2,10,227,0,239
User81,51,30,59,23,76,239
User491,48,88,57,45,0,238
User532,31,11,61,132,0,235
User2307,0,0,154,78,1,233
User695,12,187,3,6,24,232
User320,64,138,14,9,0,225
User475,19,111,63,23,9,225
User692,73,119,8,1,19,220
User843,42,69,86,8,14,219
User736,16,77,91,35,0,219
User240,6,27,48,137,1,219
User1205,25,93,72,23,6,219
User429,2,9,110,98,0,219
User880,12,88,23,92,4,219
User114,1,113,34,65,5,218
User644,18,67,70,60,1,216
User271,3,142,17,47,4,213
User274,24,39,65,76,9,213
User908,47,56,54,51,4,212
User706,10,45,78,78,1,212
User878,26,76,90,19,1,212
User207,8,29,138,16,20,211
User242,0,20,92,99,0,211
User496,3,0,92,115,0,210
User2556,0,203,5,2,0,210
User1581,0,16,141,52,0,209
User1556,4,39,46,116,2,207
User1180,0,12,91,102,0,205
User749,5,25,85,88,0,203
User1523,2,1,1,198,0,202
User641,1,34,56,110,0,201
User534,1,63,73,62,2,201
User1238,107,44,30,17,2,200
User220,36,82,79,1,1,199
User2451,162,15,3,18,0,198
User2055,6,20,134,36,1,197
User1083,2,26,115,53,0,196
User1653,20,28,84,63,1,196
User1287,5,53,42,92,3,195
User487,0,34,53,96,10,193
User1006,10,99,52,23,8,192
User1005,5,180,1,5,0,191
User482,2,58,56,72,2,190
User554,72,89,8,19,1,189
User2329,11,46,121,10,1,189
User3657,0,162,20,7,0,189
User1450,1,163,14,9,1,188
User786,6,65,31,79,7,188
User1588,51,37,68,26,5,187
User918,6,119,24,20,15,184
User1594,0,2,12,169,0,183
User2109,0,0,118,65,0,183
User722,39,116,21,1,5,182
User1274,4,13,92,70,0,179
User729,11,14,61,92,0,178
User1049,45,91,35,2,3,176
User57,25,61,60,28,1,175
User184,25,97,41,8,4,175
User1508,1,74,26,73,0,174
User323,25,14,62,72,0,173
User890,1,91,41,40,0,173
User512,32,82,5,53,0,172
User744,2,29,116,25,0,172
User66,0,89,16,67,0,172
User1784,0,68,92,12,0,172
User910,16,19,6,122,8,171
User1007,23,80,45,15,8,171
User1204,11,35,121,0,2,169
User156,31,54,48,31,4,168
User488,0,1,85,82,0,168
User1623,18,35,60,53,1,167
User1823,0,132,33,0,1,166
User276,29,61,46,28,1,165
User711,24,43,43,55,0,165
User1679,1,16,33,113,0,163
User517,4,17,12,130,0,163
User1058,25,26,51,60,0,162
User1125,14,22,54,72,0,162
User227,19,39,65,29,9,161
User347,35,37,35,54,0,161
User571,2,33,28,95,2,160
User1817,0,1,88,71,0,160
User1331,48,49,41,18,4,160
User342,0,10,67,83,0,160
User286,31,78,34,14,2,159
User292,25,42,40,48,1,156
User439,19,6,75,55,0,155
User322,4,142,3,2,4,155
User1684,5,71,10,68,0,154
User87,41,54,18,14,26,153
User1810,14,115,19,3,0,151
User631,0,20,10,121,0,151
User204,54,42,35,17,2,150
User924,5,4,89,50,1,149
User62,73,27,43,4,2,149
User1998,0,19,76,53,0,148
User965,5,63,35,32,12,147
User1560,0,108,24,14,0,146
User372,12,78,18,28,9,145
User183,3,29,41,71,0,144
User674,13,29,52,48,2,144
User975,1,38,41,63,0,143
User617,24,38,19,56,6,143
User1775,21,43,79,0,0,143
User466,22,67,31,18,5,143
User362,20,79,20,13,10,142
User197,18,56,29,19,19,141
User676,0,85,34,7,13,139
User741,21,11,43,64,0,139
User2291,2,17,24,95,0,138
User446,24,9,63,40,2,138
User348,57,71,4,2,3,137
User405,2,17,12,104,2,137
User1309,3,70,41,20,2,136
User375,25,71,25,2,13,136
User94,6,7,91,31,0,135
User1827,4,0,29,101,0,134
User1437,3,44,28,56,3,134
User61,47,5,52,29,0,133
User128,14,66,24,19,10,133
User946,4,98,11,16,4,133
User1436,1,51,47,34,0,133
User1357,2,20,59,51,0,132
User2531,0,38,19,74,0,131
User1418,23,66,32,4,5,130
User448,10,67,29,21,3,130
User192,4,30,58,36,1,129
User1113,0,5,16,107,0,128
User111,37,42,23,17,9,128
User4,42,50,20,13,2,127
User2302,2,15,7,103,0,127
User1057,10,18,59,37,2,126
User314,1,31,5,89,0,126
User354,5,19,40,62,0,126
User1165,0,64,41,20,0,125
User120,49,30,41,4,0,124
User480,23,3,70,28,0,124
User154,42,35,27,18,2,124
User1043,3,107,8,0,5,123
User875,2,77,4,40,0,123
User998,0,49,49,24,1,123
User1076,0,119,4,0,0,123
User216,46,63,12,0,0,121
User1395,0,69,14,38,0,121
User2455,1,72,26,21,0,120
User230,74,30,4,10,2,120
User86,19,35,34,32,0,120
User167,17,99,2,1,1,120
User2048,9,42,31,38,0,120
User564,9,43,14,53,1,120
User524,1,6,64,47,0,118
User548,22,6,53,37,0,118
User803,0,0,31,86,0,117
User352,37,33,33,7,7,117
User1374,4,8,23,82,0,117
User584,11,72,27,5,0,115
User294,37,33,17,6,22,115
User567,20,36,52,6,1,115
User1632,4,18,24,68,1,115
User219,16,62,25,2,9,114
User501,7,6,27,73,0,113
User63,4,19,56,32,2,113
User73,0,7,5,100,0,112
User522,2,27,15,67,0,111
User304,0,86,15,10,0,111
User117,66,25,9,1,10,111
User416,13,7,29,59,0,108
User3919,0,49,59,0,0,108
User697,22,12,33,40,0,107
User1242,2,93,2,0,9,106
User93,1,6,55,44,0,106
User3678,0,105,1,0,0,106
User148,74,17,5,5,4,105
User1101,12,16,63,14,0,105
User306,0,88,11,3,3,105
User28,10,29,46,12,7,104
User1016,17,22,61,4,0,104
User1263,1,101,1,0,1,104
User633,15,9,26,54,0,104
User130,11,3,53,37,0,104
User1322,9,41,33,17,4,104
User288,62,11,18,12,0,103
User41,26,65,9,3,0,103
User1027,1,83,9,5,4,102
User1097,4,65,3,0,30,102
User1713,0,17,18,67,0,102
User940,0,4,6,92,0,102
User381,51,28,4,0,19,102
User106,17,31,45,8,1,102
User813,0,7,39,55,0,101
User627,6,32,30,30,2,100
User158,17,44,11,28,0,100
User1088,2,4,51,43,0,100
User700,4,81,8,0,7,100
User830,5,65,25,1,3,99
User366,0,15,20,63,1,99
User455,7,57,18,13,4,99
User1958,4,23,63,8,1,99
User1217,0,46,20,31,1,98
User1353,0,10,14,73,0,97
User1115,7,53,18,16,2,96
User1771,0,2,59,35,0,96
User523,4,40,27,21,3,95
User222,23,20,18,32,2,95
User712,5,36,22,30,1,94
User563,4,74,13,0,3,94
User472,55,25,2,0,11,93
User1447,35,44,6,2,6,93
User2198,0,0,74,19,0,93
User1411,6,60,18,7,2,93
User535,1,1,73,18,0,93
User2884,0,7,52,33,0,92
User462,4,34,47,2,5,92
User3466,5,0,72,15,0,92
User514,21,27,12,32,0,92
User1933,0,0,38,54,0,92
User837,0,28,26,38,0,92
User1837,0,42,22,27,0,91
User259,20,34,19,18,0,91
User1687,7,22,46,16,0,91
User26,6,62,5,14,4,91
User1665,1,0,40,49,0,90
User649,1,22,38,28,0,89
User999,2,0,50,36,0,88
User1843,5,56,13,13,1,88
User237,0,3,43,42,0,88
User72,38,13,14,20,2,87
User702,3,2,32,50,0,87
User2774,2,17,21,47,0,87
User1869,0,83,3,0,1,87
User1604,3,40,0,43,0,86
User638,13,26,38,6,3,86
User713,16,20,29,16,5,86
User831,33,34,7,12,0,86
User2057,51,8,12,15,0,86
User2013,22,20,27,17,0,86
User1607,35,44,4,2,0,85
User15,3,65,1,0,16,85
User318,8,3,37,37,0,85
User533,1,31,10,40,2,84
User955,12,6,49,16,1,84
User210,4,51,26,1,1,83
User1903,18,7,56,2,0,83
User2290,2,70,4,0,6,82
User1380,3,12,60,7,0,82
User1875,4,38,39,1,0,82
User549,1,81,0,0,0,82
User609,2,30,31,19,0,82
User3109,0,9,8,64,1,82
User860,0,1,19,62,0,82
User1390,2,47,19,13,0,81
User284,1,1,17,62,0,81
User815,0,14,48,18,0,80
User1662,0,62,13,1,4,80
User319,2,12,50,15,1,80
User2443,5,28,44,3,0,80
User1220,0,45,22,11,2,80
User1462,0,4,4,72,0,80
User327,23,32,18,6,0,79
User1595,0,0,68,11,0,79
User943,1,47,21,7,2,78
User2523,0,2,51,25,0,78
User2035,0,2,6,70,0,78
User720,30,29,10,9,0,78
User1178,0,1,41,36,0,78
User433,0,1,52,25,0,78
User427,46,7,6,11,7,77
User105,27,10,17,18,5,77
User913,0,74,2,1,0,77
User2086,0,2,74,0,1,77
User1381,30,0,44,3,0,77
User1179,3,7,5,62,0,77
User1544,23,13,13,27,1,77
User175,1,36,4,35,0,76
User861,0,33,24,13,6,76
